Input1,Input2,Input3,Input4,Output1,Output2,Output3,Output4,Output5
-1,-0.0005,-0.0005,-0.0005,26.89975548,-7.3214626,-24.815186,-7.3620386,0.10426164
-1,-0.00045,-0.00045,-0.00045,26.49965286,-6.5881023,-24.797293,-6.627434,0.097730648
-1,-0.0004,-0.0004,-0.0004,26.13490868,-5.8550057,-24.779518,-5.8930354,0.091376995
-1,-0.00035,-0.00035,-0.00035,25.80685997,-5.1220074,-24.7618,-5.1587057,0.08526484
-1,-0.0003,-0.0003,-0.0003,25.51689529,-4.388998,-24.744154,-4.4244175,0.079464425
-1,-0.00025,-0.00025,-0.00025,25.26626968,-3.6559546,-24.726526,-3.6901462,0.074029636
-1,-0.0002,-0.0002,-0.0002,25.05615807,-2.922918,-24.708914,-2.955873,0.069035904
-1,-0.00015,-0.00015,-0.00015,24.8876133,-2.1899276,-24.691336,-2.2215893,0.064670791
-1,-1.00E-04,-1.00E-04,-1.00E-04,24.76146507,-1.456973,-24.673779,-1.4873116,0.061310752
-1,-5.00E-05,-5.00E-05,-5.00E-05,24.67842293,-0.7241715,-24.656294,-0.7531963,0.059416533
-1,3.12E-19,3.12E-19,3.12E-19,24.63887405,0.008503132,-24.638866,-0.019186838,0.058829821
-1,5.00E-05,5.00E-05,5.00E-05,24.64304352,0.74102795,-24.62153,0.7146231,0.059302558
-1,0.0001,0.0001,0.0001,24.69082832,1.4734918,-24.604225,1.448416,0.060914332
-1,0.00015,0.00015,0.00015,24.78196716,2.205984,-24.586935,2.1822314,0.064187311
-1,0.0002,0.0002,0.0002,24.91599846,2.938508,-24.56967,2.916086,0.068568602
-1,0.00025,0.00025,0.00025,25.09224129,3.6709082,-24.552477,3.6497736,0.073534794
-1,0.0003,0.0003,0.0003,25.30977631,4.403275,-24.53532,4.383377,0.078952892
-1,0.00035,0.00035,0.00035,25.56756592,5.1356487,-24.518202,5.116962,0.084717728
-1,0.0004,0.0004,0.0004,25.86439133,5.867845,-24.501183,5.8504066,0.090756197
-1,0.00045,0.00045,0.00045,26.19891167,6.599902,-24.484259,6.5837193,0.097028201
-1,0.0005,0.0005,0.0005,26.56966591,7.3319016,-24.467407,7.3168573,0.103482135
-1,0.00055,0.00055,0.00055,26.97514534,8.063866,-24.450613,8.049851,0.110067983
-1,0.0006,0.0006,0.0006,27.41378593,8.795731,-24.43388,8.782731,0.116753655
-1,0.00065,0.00065,0.00065,27.88407326,9.527563,-24.417212,9.515613,0.123519179
-1,0.0007,0.0007,0.0007,28.38452721,10.259416,-24.400642,10.2486315,0.130351527
-1,0.00075,0.00075,0.00075,28.91348076,10.99131,-24.384151,10.98151,0.137242134
-1,0.0008,0.0008,0.0008,29.46941185,11.723207,-24.367706,11.714416,0.144186187
-1,0.00085,0.00085,0.00085,30.05077171,12.455021,-24.351303,12.447303,0.151180538
-1,0.0009,0.0009,0.0009,30.65619087,13.186775,-24.335,13.180243,0.158220234
-1,0.00095,0.00095,0.00095,31.28420448,13.918479,-24.318777,13.913105,0.16529756
-1,0.001,0.001,0.001,31.93354225,14.650204,-24.302631,14.645979,0.172405125
-1,0.00055,-0.00085,0.0001,26.2762394,8.080383,-24.962515,1.4216222,0.091781389
-1,-0.00095,0.00095,0.0004,28.68831444,-13.911985,-24.393673,5.867261,0.134058526
-1,0.0007,0.0003,-0.00075,28.61709023,10.268529,-24.343111,-10.995825,0.133568178
-1,-0.0007,0.00075,-0.0004,27.04265976,-10.250509,-24.329784,-5.8561125,0.112491154
-1,-0.00025,0.00025,-0.0008,27.3516655,-3.6577106,-24.435919,-11.731185,0.115442873
-1,-0.00055,-0.00015,-0.0006,27.39829826,-8.054849,-24.658918,-8.816115,0.113944493
-1,0.00075,-0.00065,-0.00065,28.72903061,11.015534,-24.748674,-9.566519,0.13110899
-1,-0.001,-0.0005,0.00075,31.02795219,-14.651394,-25.056961,10.96445,0.156343447
-1,0.0006,-0.00075,-0.00055,27.55510521,8.815655,-24.817324,-8.103616,0.114108615
-1,-0.00125,3.12E-19,0.0008,33.03812408,-18.312464,-24.881418,11.708385,0.179782895
-1,-0.00085,-0.001,0.00055,29.24804497,-12.4542885,-25.219624,8.019314,0.133246769
-1,0.001,0.00055,-0.0002,28.52997398,14.660931,-24.298254,-2.9345164,0.13370193
-1,-0.0002,0.00085,-1.00E-04,24.50670624,-2.9269416,-24.28744,-1.4601179,0.064123348
-1,-0.0001,0.0002,-0.00025,24.84265137,-1.4583234,-24.525784,-3.6764913,0.067635879
-1,-0.0005,0.0007,0.0009,28.80096245,-7.323576,-24.536367,13.1843605,0.133855054
-1,-0.0011,0.0009,-0.0003,29.49924469,-16.107224,-24.321276,-4.3861446,0.14486056
-1,-0.00075,0.0008,-5.00E-05,26.73744965,-10.983157,-24.366587,-0.7286072,0.10703158
-1,-0.00145,0.00015,0.001,35.83621216,-21.242336,-24.871517,14.6425705,0.207827502
-1,-0.0013,-0.00095,-0.00045,32.19846344,-19.056581,-25.088215,-6.645996,0.169526066
-1,-0.00105,0.00045,0.0002,29.14085197,-15.378762,-24.57906,2.9245079,0.137924154
-1,0.00095,0.001,-0.001,31.36388779,13.919848,-23.998932,-14.628143,0.168236555
-1,-0.0015,-1.00E-04,0.00065,34.56374359,-21.978336,-24.924387,9.506844,0.195143074
-1,0.0008,-0.0009,-0.0009,30.48082161,11.752688,-24.812729,-13.239459,0.152037747
-1,0.00065,-0.0006,0.0006,28.0941925,9.543268,-24.929825,8.75863,0.121111383
-1,-0.00045,-0.0007,0.0003,26.23525047,-6.5875587,-25.017591,4.3603396,0.089599571
-1,0.0009,0.0001,0.00095,31.24636841,13.198553,-24.676043,13.900598,0.162229332
-1,-0.0006,-0.0004,-0.00035,26.81708145,-8.7874975,-24.805338,-5.160524,0.102804056
-1,-0.0009,-0.00055,0.0007,30.1086998,-13.185831,-25.060137,10.230212,0.145446945
-1,-0.00065,-0.00035,-0.00085,29.28098488,-9.521701,-24.714783,-12.485705,0.13875314
-1,-0.0014,-0.0002,0.00045,32.94270325,-20.513678,-24.92418,6.5723834,0.178520885
-1,0.0005,-5.00E-05,0.00025,25.98192787,7.339052,-24.656458,3.641147,0.090758308
-1,-0.0003,0.0006,0.00035,25.38429642,-4.392237,-24.470362,5.1256456,0.081615756
-1,-0.00015,0.0005,0.0005,25.68566513,-2.1944752,-24.52244,7.320359,0.0867661
-1,-0.00115,0.00065,-0.0005,30.53987885,-16.842657,-24.400097,-7.3242283,0.156562983
-1,-5.00E-05,0.00035,-0.00015,24.58434105,-0.72615874,-24.47431,-2.2069776,0.061555045
-1,-0.0004,0.0004,0.00015,25.315382,-5.8566227,-24.531029,2.1902397,0.07901012
-1,-0.00135,-0.0003,5.00E-05,31.80815697,-19.782217,-24.898315,0.70470095,0.166143722
-1,-0.0012,5.00E-05,-0.0007,31.95335388,-17.58056,-24.624537,-10.274868,0.170504873
-1,-0.0008,-0.00045,0.00085,30.30789566,-11.7198105,-25.033352,12.431648,0.147923873
-1,0.00085,-0.0008,3.12E-19,27.85441971,12.481187,-24.90154,-0.0438877,0.118514741
-1,-0.00035,-0.00025,-0.00095,28.76490593,-5.123105,-24.630758,-13.946301,0.132641241
-1,5.00E-05,0.00025,-0.0007,26.50454903,0.74008703,-24.42419,-10.266562,0.102639703
-1,0.001,-0.0002,0.00015,28.77929115,14.672534,-24.66286,2.1697135,0.133607289
-1,-0.00025,-0.0006,-0.0009,28.32161903,-3.655711,-24.774904,-13.227016,0.125296628
-1,0.00025,5.00E-05,-0.00045,25.66722107,3.6740944,-24.527517,-6.611212,0.086259354
-1,0.0004,-0.00045,0.00055,26.79498291,5.8750434,-24.879442,8.029221,0.10151036
-1,-0.00045,0.00085,0.00095,28.91989708,-6.5917873,-24.478165,13.918631,0.135940947
-1,-0.0002,0.00015,-0.0005,25.75950623,-2.924582,-24.517506,-7.341045,0.088257239
-1,0.0006,-0.001,3.12E-19,26.51392746,8.815627,-25.005415,-0.048358154,0.095450044
-1,0.0005,0.001,-1.00E-04,25.29473305,7.329403,-24.165684,-1.4570609,0.085533521
-1,-0.001,-0.0008,0.00065,30.62904739,-14.653301,-25.166267,9.490959,0.150888678
-1,0.00075,0.0007,-0.00065,28.22291756,10.995064,-24.188263,-9.516806,0.130138159
-1,-0.00065,-0.00025,-0.00095,29.88686371,-9.521523,-24.65875,-13.946729,0.146546425
-1,0.0003,-0.0009,0.0005,26.47583008,4.4126296,-25.067932,7.286773,0.093317687
-1,-0.0007,0.00075,-0.0006,27.79807854,-10.250218,-24.300175,-8.78452,0.123708367
-1,0.00045,-5.00E-05,0.00035,26.05057907,6.6053843,-24.676388,5.106609,0.091625422
-1,-0.00095,0.0009,0.00085,30.79598045,-13.913266,-24.487211,12.457523,0.157964258
-1,0.00035,-3.12E-19,0.00025,25.44033623,5.138986,-24.648111,3.6430874,0.079806252
-1,-0.00015,0.0002,0.0003,25.09855652,-2.19234,-24.615541,4.3825088,0.072142837
-1,0.00095,0.0008,0.0009,31.00793076,13.92112,-24.372646,13.178327,0.16179715
-1,-0.0004,0.00065,-0.00015,25.17040253,-5.8566017,-24.380678,-2.1981432,0.078500198
-1,0.0007,-0.0005,-0.0008,29.19717979,10.280206,-24.668308,-11.758707,0.13782379
-1,0.0009,0.00095,-0.001,31.06589699,13.188158,-24.023323,-14.630187,0.164692004
-1,-0.00055,0.00035,0.0002,26.02417755,-8.054431,-24.573296,2.921828,0.092310161
-1,0.0001,0.0005,-5.00E-05,24.46994209,1.4713407,-24.414509,-0.7382148,0.060049808
-1,-0.00085,-0.00095,0.0008,30.47484589,-12.454021,-25.238676,11.688574,0.148253538
-1,0.00015,-0.0001,0.00045,25.69133377,2.2066114,-24.738272,6.5721684,0.083091576
-1,-0.0005,-0.0007,-0.00035,26.48386955,-7.320959,-24.921358,-5.169611,0.095562202
-1,-0.00075,-0.00015,0.0006,28.56274605,-10.985865,-24.863163,8.772933,0.127624503
-1,0.0002,0.00045,-0.0002,24.75469589,2.9378252,-24.403643,-2.9370763,0.068439313
-1,-5.00E-05,0.00055,-0.0004,25.05937958,-0.72704256,-24.35297,-5.8631744,0.076789699
-1,-0.0008,-0.00065,-0.0003,27.90809441,-11.720854,-24.936022,-4.436005,0.117784523
-1,-0.0003,0.0003,-0.00075,27.14587021,-4.390695,-24.427029,-10.997291,0.112562773
-1,3.12E-19,0.0006,0.001,28.58640862,0.000599687,-24.550198,14.644813,0.131770492
-1,0.0008,1.00E-04,-0.00085,29.81225967,11.737533,-24.404001,-12.467796,0.147600102
-1,-0.0009,-0.0004,5.00E-05,28.17993736,-13.185069,-24.895164,0.7025554,0.122170106
-1,0.00055,-0.0003,0.00075,28.32427788,8.072404,-24.837185,10.9642725,0.124938223
-1,-0.0006,0.0004,-0.00055,27.19731331,-8.786443,-24.44287,-8.06464,0.113532778
-1,-1.00E-04,-0.00055,0.0001,24.97601509,-1.4552081,-24.89246,1.4314739,0.061870424
-1,0.00085,-0.00075,-0.00025,28.04795837,12.482078,-24.842335,-3.7073019,0.121377595
-1,0.00065,-0.00035,0.0007,28.50909996,9.5397835,-24.841791,10.229702,0.127597829
-1,-0.00035,-0.00085,0.0004,26.25810814,-5.120869,-25.087038,5.8228364,0.088853713
-1,0.001,-0.0006,-0.0006,30.0736866,14.681399,-24.7158,-8.832464,0.148343798
